FEN,Evaluation,eval,
r1b2rk1/pp2b1pp/1qn1p3/3pP3/8/5NPB/PP4KP/R1BQ2NR b - - 0 14,92,0.368,
r1b2rk1/pp2b1pp/1q2p3/3pn3/8/5NPB/PP4KP/R1BQ2NR w - - 0 15,86,0.344,
r1b2rk1/pp2b1pp/1q2p3/3pn3/8/5NPB/PP2Q1KP/R1B3NR b - - 1 15,90,0.36,
r1b2rk1/pp2b1pp/1q2p3/3p4/2n5/5NPB/PP2Q1KP/R1B3NR w - - 2 16,103,0.412,
r1b2rk1/pp2b1pp/1q2p3/3p4/2n5/1P3NPB/P3Q1KP/R1B3NR b - - 0 16,13,0.052,
r1b2rk1/pp4pp/1q2pb2/3p4/2n5/1P3NPB/P3Q1KP/R1B3NR w - - 1 17,75,0.3,
r1b2rk1/pp4pp/1q2pb2/3p4/2n5/1P3NPB/P3Q1KP/1RB3NR b - - 2 17,54,0.216,
r1b2r1k/pp4pp/1q2pb2/3p4/2n5/1P3NPB/P3Q1KP/1RB3NR w - - 3 18,69,0.276,
r1b2r1k/pp4pp/1q2pb2/3p4/2n5/1P3NPB/P4QKP/1RB3NR b - - 4 18,52,0.208,
r1b2r1k/pp4pp/1q2pb2/8/2np4/1P3NPB/P4QKP/1RB3NR w - - 0 19,91,0.364,
r1b2r1k/pp4pp/1q2pb2/8/2np4/1P3NPB/P1Q3KP/1RB3NR b - - 1 19,-48,-0.192,
rnbqk2r/pp1p1ppp/4pn2/8/1b1NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6,90,0.36,
rnbqk2r/pp1p1ppp/4pn2/8/1b1NP3/2NB4/PPP2PPP/R1BQK2R b KQkq - 4 6,-35,-0.14,
rnbqk2r/pp1p1ppp/5n2/4p3/1b1NP3/2NB4/PPP2PPP/R1BQK2R w KQkq - 0 7,85,0.34,
rnbqk2r/pp1p1ppp/5n2/4p3/1b2P3/2NB4/PPP1NPPP/R1BQK2R b KQkq - 1 7,12,0.048,
rnbqk2r/pp3ppp/5n2/3pp3/1b2P3/2NB4/PPP1NPPP/R1BQK2R w KQkq - 0 8,80,0.32,
rnbqk2r/pp3ppp/5n2/3Pp3/1b6/2NB4/PPP1NPPP/R1BQK2R b KQkq - 0 8,35,0.14,
rnbqk2r/pp3ppp/8/3np3/1b6/2NB4/PPP1NPPP/R1BQK2R w KQkq - 0 9,67,0.268,
rnbqk2r/pp3ppp/8/3np3/1b6/2NB4/PPPBNPPP/R2QK2R b KQkq - 1 9,1,0.004,
r1bqk2r/pp3ppp/2n5/3np3/1b6/2NB4/PPPBNPPP/R2QK2R w KQkq - 2 10,50,0.2,
r1bqk2r/pp3ppp/2n5/3np3/1b6/2NB4/PPPBNPPP/R2Q1RK1 b kq - 3 10,0,0,
r1bqk2r/pp3ppp/2n5/4p3/1b6/2nB4/PPPBNPPP/R2Q1RK1 w kq - 0 11,69,0.276,
r1bqk2r/pp3ppp/2n5/4p3/1b6/2NB4/PPPB1PPP/R2Q1RK1 b kq - 0 11,-12,-0.048,
r1bq1rk1/pp3ppp/2n5/4p3/1b6/2NB4/PPPB1PPP/R2Q1RK1 w - - 1 12,47,0.188,
r1bq1rk1/pp3ppp/2n5/4p2Q/1b6/2NB4/PPPB1PPP/R4RK1 b - - 2 12,0,0,
r1bq1rk1/pp3p1p/2n3p1/4p2Q/1b6/2NB4/PPPB1PPP/R4RK1 w - - 0 13,0,0,
r1bq1rk1/pp3p1p/2n3pQ/4p3/1b6/2NB4/PPPB1PPP/R4RK1 b - - 1 13,-30,-0.12,
r2q1rk1/pp3p1p/2n1b1pQ/4p3/1b6/2NB4/PPPB1PPP/R4RK1 w - - 2 14,2,0.008,
r2q1rk1/pp3p1p/2n1b1pQ/4p3/1b6/2NB4/PPPB1PPP/3R1RK1 b - - 3 14,4,0.016,
r2q1rk1/pp5p/2n1b1pQ/4pp2/1b6/2NB4/PPPB1PPP/3R1RK1 w - - 0 15,18,0.072,
r2q1rk1/pp5p/2n1b1pQ/4pp2/1b6/P1NB4/1PPB1PPP/3R1RK1 b - - 0 15,-70,-0.28,
r2q1rk1/pp2b2p/2n1b1pQ/4pp2/8/P1NB4/1PPB1PPP/3R1RK1 w - - 1 16,0,0,
r2q1rk1/pp2b2p/2n1b1pQ/4pp2/8/P1NB1P2/1PPB2PP/3R1RK1 b - - 0 16,-108,-0.432,
r2q1rk1/pp5p/2n1bbpQ/4pp2/8/P1NB1P2/1PPB2PP/3R1RK1 w - - 1 17,-28,-0.112,
r2q1rk1/pp5p/2n1bbpQ/4pp2/8/P1NB1P2/1PPB2PP/3R1R1K b - - 2 17,-116,-0.464,
r4rk1/pp2q2p/2n1bbpQ/4pp2/8/P1NB1P2/1PPB2PP/3R1R1K w - - 3 18,-30,-0.12,
r4rk1/pp2q2p/2n1bbp1/4pp2/8/P1NBQP2/1PPB2PP/3R1R1K b - - 4 18,-69,-0.276,
2r2rk1/pp2q2p/2n1bbp1/4pp2/8/P1NBQP2/1PPB2PP/3R1R1K w - - 5 19,-41,-0.164,
2r2rk1/pp2q2p/2n1bbp1/1N2pp2/8/P2BQP2/1PPB2PP/3R1R1K b - - 6 19,-113,-0.452,
2r2rk1/p3q2p/1pn1bbp1/1N2pp2/8/P2BQP2/1PPB2PP/3R1R1K w - - 0 20,-61,-0.244,
2r2rk1/p3q2p/1pn1bbp1/1N2pp2/8/P2B1P2/1PPB2PP/3R1RQK b - - 1 20,-123,-0.492,
2rr2k1/p3q2p/1pn1bbp1/1N2pp2/8/P2B1P2/1PPB2PP/3R1RQK w - - 2 21,-57,-0.228,
2rr2k1/p3q2p/1pn1bbp1/4pp2/8/P1NB1P2/1PPB2PP/3R1RQK b - - 3 21,-113,-0.452,
2rr2k1/pq5p/1pn1bbp1/4pp2/8/P1NB1P2/1PPB2PP/3R1RQK w - - 4 22,-46,-0.184,
2rr2k1/pq5p/1pn1bbp1/4pp2/8/P1NB1P2/1PPB2PP/3RR1QK b - - 5 22,-120,-0.48,
2rr2k1/pq5p/1p2bbp1/n3pp2/8/P1NB1P2/1PPB2PP/3RR1QK w - - 6 23,-34,-0.136,
2rr2k1/pq5p/1p2bbp1/n3pp2/8/P1NB1P2/1PP3PP/2BRR1QK b - - 7 23,-72,-0.288,
2rr2k1/pq5p/1p2bbp1/4pp2/2n5/P1NB1P2/1PP3PP/2BRR1QK w - - 8 24,-36,-0.144,
2rr2k1/pq5p/1p2bbp1/4pp2/2n5/P1NB1P2/1PP3PP/2BRRQ1K b - - 9 24,-80,-0.32,
2rr2k1/p4q1p/1p2bbp1/4pp2/2n5/P1NB1P2/1PP3PP/2BRRQ1K w - - 10 25,0,0,
2rr2k1/p4q1p/1p2bbp1/4pp2/2n5/P2B1P2/1PP3PP/1NBRRQ1K b - - 11 25,-61,-0.244,
2rr2k1/p4q1p/1p1nbbp1/4pp2/8/P2B1P2/1PP3PP/1NBRRQ1K w - - 12 26,-38,-0.152,
2rr2k1/p4q1p/1p1nbbp1/4pp2/8/P2B1P2/1PPN2PP/2BRRQ1K b - - 13 26,-93,-0.372,
2rr2k1/pn3q1p/1p2bbp1/4pp2/8/P2B1P2/1PPN2PP/2BRRQ1K w - - 14 27,0,0,
2rr2k1/pn3q1p/1p2bbp1/4pp2/8/PP1B1P2/2PN2PP/2BRRQ1K b - - 0 27,-41,-0.164,
2rr2k1/p4q1p/1p1nbbp1/4pp2/8/PP1B1P2/2PN2PP/2BRRQ1K w - - 1 28,58,0.232,
2rr2k1/p4q1p/1p1nbbp1/4pp2/8/PP1B1P2/1BPN2PP/3RRQ1K b - - 2 28,-44,-0.176,
2rr2k1/p5qp/1p1nbbp1/4pp2/8/PP1B1P2/1BPN2PP/3RRQ1K w - - 3 29,26,0.104,
rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,89,0.356,
rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,50,0.2,
rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,60,0.24,
rnbqk1nr/pp1pppbp/2p3p1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq - 1 4,31,0.124,
rnbqk1nr/p2pppbp/2p3p1/1p6/2BPP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 5,101,0.404,
rnbqk1nr/p2pppbp/2p3p1/1p6/3PP3/1BN5/PPP2PPP/R1BQK1NR b KQkq - 1 5,58,0.232,
rnbqk1nr/p2pppbp/2p3p1/8/1p1PP3/1BN5/PPP2PPP/R1BQK1NR w KQkq - 0 6,136,0.544,
rnbqk1nr/p2pppbp/2p3p1/8/1p1PP3/1B6/PPP1NPPP/R1BQK1NR b KQkq - 1 6,53,0.212,
rnbqk2r/p2pppbp/2p2np1/8/1p1PP3/1B6/PPP1NPPP/R1BQK1NR w KQkq - 2 7,109,0.436,
rnbqk2r/p2pppbp/2p2np1/4P3/1p1P4/1B6/PPP1NPPP/R1BQK1NR b KQkq - 0 7,78,0.312,
rnbqk2r/p2pppbp/2p3p1/3nP3/1p1P4/1B6/PPP1NPPP/R1BQK1NR w KQkq - 1 8,121,0.484,
rnbqk2r/p2pppbp/2p3p1/3nP3/1p1P1N2/1B6/PPP2PPP/R1BQK1NR b KQkq - 2 8,60,0.24,
rnbqk2r/p2pppbp/2p3p1/4P3/1p1P1n2/1B6/PPP2PPP/R1BQK1NR w KQkq - 0 9,123,0.492,
rnbqk2r/p2pppbp/2p3p1/4P3/1p1P1B2/1B6/PPP2PPP/R2QK1NR b KQkq - 0 9,58,0.232,
rnbq1rk1/p2pppbp/2p3p1/4P3/1p1P1B2/1B6/PPP2PPP/R2QK1NR w KQ - 1 10,125,0.5,
rnbq1rk1/p2pppbp/2p3p1/4P3/1p1P1B1P/1B6/PPP2PP1/R2QK1NR b KQ - 0 10,105,0.42,
rnbq1rk1/p3ppbp/2pp2p1/4P3/1p1P1B1P/1B6/PPP2PP1/R2QK1NR w KQ - 0 11,221,0.884,
rnbq1rk1/p3ppbp/2pp2p1/4P3/1p1P1B1P/1B6/PPP1QPP1/R3K1NR b KQ - 1 11,15,0.06,
rnbq1rk1/4ppbp/2pp2p1/p3P3/1p1P1B1P/1B6/PPP1QPP1/R3K1NR w KQ - 0 12,160,0.64,
rnbq1rk1/4ppbp/2pp2p1/p3P2P/1p1P1B2/1B6/PPP1QPP1/R3K1NR b KQ - 0 12,128,0.512,
rnbq1rk1/4ppbp/2p3p1/p2pP2P/1p1P1B2/1B6/PPP1QPP1/R3K1NR w KQ - 0 13,178,0.712,
rnbq1rk1/4ppbp/2p3p1/p2pP2P/Bp1P1B2/8/PPP1QPP1/R3K1NR b KQ - 1 13,96,0.384,
rnbq1rk1/4ppbp/6p1/p1ppP2P/Bp1P1B2/8/PPP1QPP1/R3K1NR w KQ - 0 14,204,0.816,
rnbq1rk1/4ppbp/6p1/p1PpP2P/Bp3B2/8/PPP1QPP1/R3K1NR b KQ - 0 14,19,0.076,
rn1q1rk1/3bppbp/6p1/p1PpP2P/Bp3B2/8/PPP1QPP1/R3K1NR w KQ - 1 15,43,0.172,
rn1q1rk1/3Bppbp/6p1/p1PpP2P/1p3B2/8/PPP1QPP1/R3K1NR b KQ - 0 15,10,0.04,
r2q1rk1/3nppbp/6p1/p1PpP2P/1p3B2/8/PPP1QPP1/R3K1NR w KQ - 0 16,46,0.184,
r2q1rk1/3nppbp/2P3p1/p2pP2P/1p3B2/8/PPP1QPP1/R3K1NR b KQ - 0 16,21,0.084,
r2q1rk1/4ppbp/2P3p1/p1npP2P/1p3B2/8/PPP1QPP1/R3K1NR w KQ - 1 17,59,0.236,
r2q1rk1/4ppbp/2P3p1/p1npP2P/1p3B2/5N2/PPP1QPP1/R3K2R b KQ - 2 17,14,0.056,
r2q1rk1/4ppbp/2P1n1p1/p2pP2P/1p3B2/5N2/PPP1QPP1/R3K2R w KQ - 3 18,83,0.332,
r2q1rk1/4ppbp/2P1n1p1/p2pP2P/1p6/4BN2/PPP1QPP1/R3K2R b KQ - 4 18,11,0.044,
r4rk1/2q1ppbp/2P1n1p1/p2pP2P/1p6/4BN2/PPP1QPP1/R3K2R w KQ - 5 19,112,0.448,
r4rk1/2q1ppbp/2P1n1p1/pQ1pP2P/1p6/4BN2/PPP2PP1/R3K2R b KQ - 6 19,-4,-0.016,
r4rk1/2q1pp1p/2P1n1p1/pQ1pb2P/1p6/4BN2/PPP2PP1/R3K2R w KQ - 0 20,130,0.52,
r4rk1/2q1pp1p/2P1n1p1/pQ1pb2P/1p6/4BN2/PPP2PP1/2KR3R b - - 1 20,113,0.452,
r4rk1/2q1pp1p/2P1nbp1/pQ1p3P/1p6/4BN2/PPP2PP1/2KR3R w - - 2 21,140,0.56,
r4rk1/2q1pp1p/2P1nbP1/pQ1p4/1p6/4BN2/PPP2PP1/2KR3R b - - 0 21,0,0,
r4rk1/2q1pp2/2P1nbp1/pQ1p4/1p6/4BN2/PPP2PP1/2KR3R w - - 0 22,0,0,
r4rk1/2q1pp2/2P1nbp1/pQ1R4/1p6/4BN2/PPP2PP1/2K4R b - - 0 22,0,0,
1r3rk1/2q1pp2/2P1nbp1/pQ1R4/1p6/4BN2/PPP2PP1/2K4R w - - 1 23,136,0.544,
1r3rk1/2q1pp2/2P1nbp1/p2R4/Qp6/4BN2/PPP2PP1/2K4R b - - 2 23,71,0.284,
r4rk1/2q1pp2/2P1nbp1/p2R4/Qp6/4BN2/PPP2PP1/2K4R w - - 3 24,244,0.976,
r4rk1/2qRpp2/2P1nbp1/p7/Qp6/4BN2/PPP2PP1/2K4R b - - 4 24,192,0.768,
r1q2rk1/3Rpp2/2P1nbp1/p7/Qp6/4BN2/PPP2PP1/2K4R w - - 5 25,215,0.86,
r1q2rk1/3Rpp2/1BP1nbp1/p7/Qp6/5N2/PPP2PP1/2K4R b - - 6 25,-104,-0.416,
r4rk1/3Rpp2/qBP1nbp1/p7/Qp6/5N2/PPP2PP1/2K4R w - - 7 26,-52,-0.208,
r4rk1/1R2pp2/qBP1nbp1/p7/Qp6/5N2/PPP2PP1/2K4R b - - 8 26,-110,-0.44,
r1r3k1/1R2pp2/qBP1nbp1/p7/Qp6/5N2/PPP2PP1/2K4R w - - 9 27,-70,-0.28,
r1r3k1/1R2pp2/qBP1nbp1/p7/Qp6/5N2/PPP2PP1/2KR4 b - - 10 27,-138,-0.552,
r1r3k1/1R2pp2/1BP1nbp1/p7/Qpq5/5N2/PPP2PP1/2KR4 w - - 11 28,-147,-0.588,
r1r3k1/1RP1pp2/1B2nbp1/p7/Qpq5/5N2/PPP2PP1/2KR4 b - - 0 28,-258,-1.032,
r1r3k1/1Rn1pp2/1B3bp1/p7/Qpq5/5N2/PPP2PP1/2KR4 w - - 0 29,-210,-0.84,
r1r3k1/1Rn1pp2/5bp1/p7/QpqB4/5N2/PPP2PP1/2KR4 b - - 1 29,-373,-1.492,
r1r3k1/1R2pp2/4nbp1/p7/QpqB4/5N2/PPP2PP1/2KR4 w - - 2 30,-301,-1.204,
r1r3k1/1R2pp2/4nbp1/p7/1pqB4/1Q3N2/PPP2PP1/2KR4 b - - 3 30,-613,-2.452,
r1r3k1/1R2pp2/2q1nbp1/p7/1p1B4/1Q3N2/PPP2PP1/2KR4 w - - 4 31,-420,-1.68,
r1r3k1/1R2pp2/2q1nBp1/p7/1p6/1Q3N2/PPP2PP1/2KR4 b - - 0 31,-432,-1.728,
r1r3k1/1q2pp2/4nBp1/p7/1p6/1Q3N2/PPP2PP1/2KR4 w - - 0 32,-304,-1.216,
r1r3k1/1q2pp2/4n1p1/p3B3/1p6/1Q3N2/PPP2PP1/2KR4 b - - 1 32,-346,-1.384,
r1r3k1/1q2pp2/6p1/p1n1B3/1p6/1Q3N2/PPP2PP1/2KR4 w - - 2 33,0,0,
r1r3k1/1q2pp2/6p1/p1n1B3/1pQ5/5N2/PPP2PP1/2KR4 b - - 3 33,0,0,
r1r3k1/1q2pp2/6p1/p3B3/1pQ1n3/5N2/PPP2PP1/2KR4 w - - 4 34,790,3.16,
r1r3k1/1q2pp2/6p1/p3B3/1pQ1n3/5N2/PPP2PP1/2K4R b - - 5 34,763,3.052,
r1r3k1/1q2pp2/5np1/p3B3/1pQ5/5N2/PPP2PP1/2K4R w - - 6 35,824,3.296,
r1r3k1/1q2pp2/5Bp1/p7/1pQ5/5N2/PPP2PP1/2K4R b - - 0 35,1167,4.668,
r1r3k1/1q3p2/5pp1/p7/1pQ5/5N2/PPP2PP1/2K4R w - - 0 36,838,3.352,
r1r3k1/1q3p2/5pp1/p7/1p5Q/5N2/PPP2PP1/2K4R b - - 1 36,771,3.084,
r1r2k2/1q3p2/5pp1/p7/1p5Q/5N2/PPP2PP1/2K4R w - - 2 37,1413,5.652,
r1r2k2/1q3p2/5Qp1/p7/1p6/5N2/PPP2PP1/2K4R b - - 0 37,5545,22.18,
r4k2/1q3p2/5Qp1/p7/1p6/5N2/PPr2PP1/2K4R w - - 0 38,5577,22.308,
r4k2/1q3p2/5Qp1/p7/1p6/5N2/PPr2PP1/1K5R b - - 1 38,5636,22.544,
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6,-8,-0.032,
rnbqkb1r/1p3ppp/p2p1n2/4p3/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 0 7,73,0.292,
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq - 1 7,-23,-0.092,
rnbqk2r/1p2bppp/p2p1n2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R w KQkq - 2 8,37,0.148,
rnbqk2r/1p2bppp/p2p1n2/4p3/4P3/1NN1BP2/PPP3PP/R2QKB1R b KQkq - 0 8,-68,-0.272,
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPP3PP/R2QKB1R w KQkq - 1 9,23,0.092,
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R b KQkq - 2 9,-54,-0.216,
r2qk2r/1p1nbppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R w KQkq - 3 10,28,0.112,
r2qk2r/1p1nbppp/p2pbn2/4p3/4P1P1/1NN1BP2/PPPQ3P/R3KB1R b KQkq - 0 10,-12,-0.048,
r2qk2r/1p1nbpp1/p2pbn1p/4p3/4P1P1/1NN1BP2/PPPQ3P/R3KB1R w KQkq - 0 11,42,0.168,
r2qk2r/1p1nbpp1/p2pbn1p/4p3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R b kq - 1 11,-17,-0.068,
r2qk2r/3nbpp1/p2pbn1p/1p2p3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R w kq - 0 12,48,0.192,
r2qk2r/3nbpp1/p2pbn1p/1p2p3/4P1PP/1NN1BP2/PPPQ4/2KR1B1R b kq - 0 12,29,0.116,
r2qk2r/4bpp1/pn1pbn1p/1p2p3/4P1PP/1NN1BP2/PPPQ4/2KR1B1R w kq - 1 13,29,0.116,
r2qk2r/4bpp1/pn1pbn1p/1p2p3/4P1PP/1NN1BP2/PPP2Q2/2KR1B1R b kq - 2 13,20,0.08,
r2qk2r/3nbpp1/pn1pb2p/1p2p3/4P1PP/1NN1BP2/PPP2Q2/2KR1B1R w kq - 3 14,107,0.428,
r2qk2r/3nbpp1/pn1pb2p/1p2p3/4P1PP/1NN1BP2/PPP2Q2/1K1R1B1R b kq - 4 14,34,0.136,
r2qk2r/3nbpp1/p2pb2p/1p2p3/2n1P1PP/1NN1BP2/PPP2Q2/1K1R1B1R w kq - 5 15,88,0.352,
r2qk2r/3nbpp1/p2pb2p/1p2p3/2B1P1PP/1NN1BP2/PPP2Q2/1K1R3R b kq - 0 15,81,0.324,
r2qk2r/3nbpp1/p2pb2p/4p3/2p1P1PP/1NN1BP2/PPP2Q2/1K1R3R w kq - 0 16,126,0.504,
r2qk2r/3nbpp1/p2pb2p/4p3/2p1P1PP/2N1BP2/PPP2Q2/1KNR3R b kq - 1 16,23,0.092,
1r1qk2r/3nbpp1/p2pb2p/4p3/2p1P1PP/2N1BP2/PPP2Q2/1KNR3R w k - 2 17,119,0.476,
1r1qk2r/3nbpp1/p2pb2p/4p3/2p1P1PP/2N1BP2/PPP1NQ2/1K1R3R b k - 3 17,48,0.192,
1r2k2r/2qnbpp1/p2pb2p/4p3/2p1P1PP/2N1BP2/PPP1NQ2/1K1R3R w k - 4 18,114,0.456,
1r2k2r/2qnbpp1/p2pb2p/4p3/2p1P1PP/2N2P2/PPP1NQ2/1KBR3R b k - 5 18,73,0.292,
4k2r/1rqnbpp1/p2pb2p/4p3/2p1P1PP/2N2P2/PPP1NQ2/1KBR3R w k - 6 19,197,0.788,
4k2r/1rqnbpp1/p2pb2p/4p3/2p1P1PP/2N2P2/PPP1NQ2/K1BR3R b k - 7 19,93,0.372,
4k2r/1r1nbpp1/p1qpb2p/4p3/2p1P1PP/2N2P2/PPP1NQ2/K1BR3R w k - 8 20,152,0.608,
4k2r/1r1nbpp1/p1qpb2p/4p3/2p1P1PP/2N2PQ1/PPP1N3/K1BR3R b k - 9 20,126,0.504,
4k2r/1r2bpp1/pnqpb2p/4p3/2p1P1PP/2N2PQ1/PPP1N3/K1BR3R w k - 10 21,248,0.992,
4k2r/1r2bpp1/pnqpb2p/4p3/2p1PPPP/2N3Q1/PPP1N3/K1BR3R b k - 0 21,184,0.736,
4k2r/1r2b1p1/pnqpbp1p/4p3/2p1PPPP/2N3Q1/PPP1N3/K1BR3R w k - 0 22,238,0.952,
4k2r/1r2b1p1/pnqpbp1p/4p1P1/2p1PP1P/2N3Q1/PPP1N3/K1BR3R b k - 0 22,210,0.84,
4k2r/1r2bbp1/pnqp1p1p/4p1P1/2p1PP1P/2N3Q1/PPP1N3/K1BR3R w k - 1 23,369,1.476,
4k2r/1r2bbp1/pnqp1p1p/4p1PP/2p1PP2/2N3Q1/PPP1N3/K1BR3R b k - 0 23,-62,-0.248,
4k2r/1r2bbp1/pnqp1p2/4p1pP/2p1PP2/2N3Q1/PPP1N3/K1BR3R w k - 0 24,206,0.824,
4k2r/1r2bbp1/pnqp1p2/4p1PP/2p1P3/2N3Q1/PPP1N3/K1BR3R b k - 0 24,141,0.564,
4k2r/1r2bbp1/pnqp4/4p1pP/2p1P3/2N3Q1/PPP1N3/K1BR3R w k - 0 25,250,1,
4k2r/1r2bbp1/pnqp4/4p1BP/2p1P3/2N3Q1/PPP1N3/K2R3R b k - 0 25,107,0.428,
4k3/1r2bbp1/pnqp4/4p1Br/2p1P3/2N3Q1/PPP1N3/K2R3R w - - 0 26,224,0.896,
4k3/1r2Bbp1/pnqp4/4p2r/2p1P3/2N3Q1/PPP1N3/K2R3R b - - 0 26,199,0.796,
4k3/4rbp1/pnqp4/4p2r/2p1P3/2N3Q1/PPP1N3/K2R3R w - - 0 27,277,1.108,
4k3/4rbQ1/pnqp4/4p2r/2p1P3/2N5/PPP1N3/K2R3R b - - 0 27,206,0.824,
4k3/4rbQ1/pnqp4/4p3/2p1P3/2N5/PPP1N3/K2R3r w - - 0 28,259,1.036,
4k3/4rbQ1/pnqp4/4p3/2p1P3/2N5/PPP1N3/K6R b - - 0 28,192,0.768,
4k3/4r1Q1/pnqpb3/4p3/2p1P3/2N5/PPP1N3/K6R w - - 1 29,256,1.024,
4k3/4r3/pnqpb3/4p1Q1/2p1P3/2N5/PPP1N3/K6R b - - 2 29,231,0.924,
8/3kr3/pnqpb3/4p1Q1/2p1P3/2N5/PPP1N3/K6R w - - 3 30,282,1.128,
8/3kr3/pnqpb3/4p1Q1/2p1P3/2N3N1/PPP5/K6R b - - 4 30,246,0.984,
4r3/3k4/pnqpb3/4p1Q1/2p1P3/2N3N1/PPP5/K6R w - - 5 31,469,1.876,
4r3/3k4/pnqpb1Q1/4p3/2p1P3/2N3N1/PPP5/K6R b - - 6 31,250,1,
2k1r3/8/pnqpb1Q1/4p3/2p1P3/2N3N1/PPP5/K6R w - - 7 32,240,0.96,
2k1r3/8/pnqpb1Q1/4p3/2p1P3/2N3N1/PPP5/K2R4 b - - 8 32,103,0.412,
4r3/2k5/pnqpb1Q1/4p3/2p1P3/2N3N1/PPP5/K2R4 w - - 9 33,153,0.612,
4r3/2k5/pnqpb1Q1/4p2N/2p1P3/2N5/PPP5/K2R4 b - - 10 33,79,0.316,
4r3/2kb4/pnqp2Q1/4p2N/2p1P3/2N5/PPP5/K2R4 w - - 11 34,322,1.288,
4r3/2kb4/pnqp1NQ1/4p3/2p1P3/2N5/PPP5/K2R4 b - - 12 34,232,0.928,
3r4/2kb4/pnqp1NQ1/4p3/2p1P3/2N5/PPP5/K2R4 w - - 13 35,286,1.144,
3r4/2kb1Q2/pnqp1N2/4p3/2p1P3/2N5/PPP5/K2R4 b - - 14 35,234,0.936,
2kr4/3b1Q2/pnqp1N2/4p3/2p1P3/2N5/PPP5/K2R4 w - - 15 36,372,1.488,
2kr4/3b1Q2/pnqp1N2/4p3/2p1P3/P1N5/1PP5/K2R4 b - - 0 36,211,0.844,
2kr4/3b1Q2/pn1p1N2/2q1p3/2p1P3/P1N5/1PP5/K2R4 w - - 1 37,380,1.52,
2kr4/3bQ3/pn1p1N2/2q1p3/2p1P3/P1N5/1PP5/K2R4 b - - 2 37,194,0.776,
2kr4/4Q3/pnbp1N2/2q1p3/2p1P3/P1N5/1PP5/K2R4 w - - 3 38,487,1.948,
2kr4/4Q3/pnbp1N2/2q1p3/2p1P3/P1N5/KPP5/3R4 b - - 4 38,286,1.144,
2kr4/4Q3/1nbp1N2/p1q1p3/2p1P3/P1N5/KPP5/3R4 w - - 0 39,400,1.6,
2kr4/4Q3/1nbp1N2/p1q1p3/2p1P3/P1N5/1PP5/K2R4 b - - 1 39,213,0.852,
2kr4/4Q3/1nbp1N2/2q1p3/p1p1P3/P1N5/1PP5/K2R4 w - - 0 40,291,1.164,
2kr4/4Q3/1nbp1N2/2q1p3/p1p1P3/P1N5/KPP5/3R4 b - - 1 40,480,1.92,
2kr4/4Q3/1nbp1N2/4p3/p1p1P3/P1N5/KPP2q2/3R4 w - - 2 41,450,1.8,
2kr4/4Q3/1nbR1N2/4p3/p1p1P3/P1N5/KPP2q2/8 b - - 0 41,461,1.844,
2k5/4Q3/1nbr1N2/4p3/p1p1P3/P1N5/KPP2q2/8 w - - 0 42,451,1.804,
2k5/8/1nbQ1N2/4p3/p1p1P3/P1N5/KPP2q2/8 b - - 0 42,607,2.428,
8/1k6/1nbQ1N2/4p3/p1p1P3/P1N5/KPP2q2/8 w - - 1 43,577,2.308,
8/1k2Q3/1nb2N2/4p3/p1p1P3/P1N5/KPP2q2/8 b - - 2 43,460,1.84,
8/4Q3/knb2N2/4p3/p1p1P3/P1N5/KPP2q2/8 w - - 3 44,608,2.432,
8/8/knb1QN2/4p3/p1p1P3/P1N5/KPP2q2/8 b - - 4 44,307,1.228,
8/1k6/1nb1QN2/4p3/p1p1P3/P1N5/KPP2q2/8 w - - 5 45,633,2.532,
8/1k6/1nb1Q3/3Np3/p1p1P3/P1N5/KPP2q2/8 b - - 6 45,366,1.464,
8/1k6/1nb1Q3/2qNp3/p1p1P3/P1N5/KPP5/8 w - - 7 46,380,1.52,
8/1k6/1nb5/2qNQ3/p1p1P3/P1N5/KPP5/8 b - - 0 46,383,1.532,
8/1k6/1n6/2qbQ3/p1p1P3/P1N5/KPP5/8 w - - 0 47,392,1.568,
8/1k6/1n6/2qPQ3/p1p5/P1N5/KPP5/8 b - - 0 47,366,1.464,
